,U,delta_0,delta_1,delta_2
0,0.01,0.014389659596712356,0.21767094960811514,0.0020722788100261042
1,0.5644444444444445,0.028136990212539074,0.2021832513464269,0.16899714884463463
2,1.118888888888889,0.03943443553516335,0.16475934347098986,0.38922080666703773
3,1.6733333333333336,0.0481217183171868,0.1370404210262255,0.633926340104423
4,2.227777777777778,0.054289068841101185,0.11770144668713461,0.8953999399293089
5,2.7822222222222224,0.05831109292406108,0.10338143904261263,1.1681425854378462
6,3.336666666666667,0.06048921737808122,0.09237658503347657,1.4475464068930517
7,3.8911111111111114,0.0613200167765887,0.0836038027105975,1.730676060152716
8,4.445555555555556,0.0612365998173235,0.07623687391186917,2.015430117895483
9,5.0,0.0604967845652099,0.0699065343504007,2.30106537777435
