,U,delta_0,delta_1,delta_2
0,0.01,0.0,0.0,0.0
1,0.5644444444444445,0.002715678788628514,0.0034770376587262754,0.27914414674196397
2,1.118888888888889,0.007847795101862527,0.008481332323090587,0.556707809361778
3,1.6733333333333336,0.017104654440470945,0.01754466662740531,0.8341008804607692
4,2.227777777777778,0.04013482125856415,0.040556877261905766,1.1114662166703426
5,2.7822222222222224,0.26069682757126844,0.262239444080181,1.3885222310785788
6,3.336666666666667,0.9023450023208697,0.9047420620006847,1.665703538186715
7,3.8911111111111114,1.3167241147884596,1.3189512358095261,1.943151816526349
8,4.445555555555556,1.6672619230006003,1.669375633096195,2.220606732165669
9,5.0,1.9978473707534488,1.9996374206791714,2.498007750636752
