,U,delta_0,delta_1,delta_2
0,0.01,0.0,0.0,0.0
1,0.5644444444444445,0.0,0.0,0.0
2,1.118888888888889,0.0,0.0,0.0
3,1.6733333333333336,0.0,0.0,0.0
4,2.227777777777778,0.0,0.0,0.0
5,2.7822222222222224,0.0,0.0,0.0
6,3.336666666666667,0.4082549849701158,0.3494013401106992,0.4427555811516834
7,3.8911111111111114,0.8315190727319439,0.875598033671982,0.924754861139113
8,4.445555555555556,1.1640386829723586,1.312477840700962,1.3015769435993692
9,5.0,1.4742072096174053,1.6951158359177525,1.643038240864807
