,U,delta_0,delta_1,delta_2
0,0.01,-2.985057298811143e-06,0.0008148143682841795,0.00019734823316758113
1,0.5644444444444445,0.0066209942346019054,0.18819504659403746,0.08962179198066605
2,1.118888888888889,0.028723877290176572,0.38682526321841804,0.18520360129434107
3,1.6733333333333336,0.07136105610678016,0.597561590193128,0.29133494109065383
4,2.227777777777778,0.1424319885081593,0.8197823191988123,0.4163653857361047
5,2.7822222222222224,0.25432351057889846,1.052635478486124,0.5732645747034524
6,3.336666666666667,0.42406290157934556,1.2959792204385807,0.7790117506252824
7,3.8911111111111114,0.66512097079366,1.5514031594629536,1.0449351422960367
8,4.445555555555556,0.9702816287934501,1.8207226673611752,1.3613739260774476
9,5.0,1.3128211546991682,2.1022938775026043,1.702391780513512
