,U,delta_0,delta_1,delta_2
0,0.01,0.0,0.0,0.0
1,0.5644444444444445,0.10553042763157897,0.10553042763157897,0.10553042763157897
2,1.118888888888889,0.24979440789473684,0.24979440789473684,0.24979440789473684
3,1.6733333333333336,0.4427837171052631,0.4427837171052631,0.4427837171052631
4,2.227777777777778,0.693873355263158,0.693873355263158,0.693873355263158
5,2.7822222222222224,0.9872777035361839,0.9872777035361839,0.9872777035361839
6,3.336666666666667,1.2917146381578948,1.2917146381578948,1.2917146381578948
7,3.8911111111111114,1.5952148437500002,1.5952148437500002,1.5952148437500002
8,4.445555555555556,1.8965332031250006,1.8965332031250006,1.8965332031250006
9,5.0,2.1958007812500018,2.1958007812500018,2.1958007812500018
