,U,delta_0,delta_1,delta_2
0,0.01,0.0,0.0,0.0
1,0.5644444444444445,0.0,0.0,0.0
2,1.118888888888889,0.0,0.0,0.0
3,1.6733333333333336,0.0,0.0,0.0
4,2.227777777777778,0.07364309210526315,0.07364309210526315,0.07364309210526315
5,2.7822222222222224,0.5078227796052632,0.5078227796052632,0.5078227796052632
6,3.336666666666667,0.8140676398026316,0.8140676398026316,0.8140676398026316
7,3.8911111111111114,1.1209138569078947,1.1209138569078947,1.1209138569078947
8,4.445555555555556,1.4348607113486844,1.4348607113486844,1.4348607113486844
9,5.0,1.7530517578125007,1.7530517578125007,1.7530517578125007
