,U,delta_0,delta_1,delta_2
0,0.1,0.0,0.0,0.0
1,0.7555555555555555,0.0,0.0,0.0
2,1.4111111111111112,0.040589292751134765,0.024417608729048627,0.4924621070771634
3,2.066666666666667,0.15865521075135947,0.15143167018823006,0.9001648479207893
4,2.7222222222222223,0.5401724550798941,0.5402071611455471,1.2624734478325799
5,3.3777777777777778,1.0412010015389952,1.042829864627179,1.6102580976831349
6,4.033333333333333,1.450401735738918,1.452131001639943,1.9511572349691453
7,4.688888888888888,1.8346926831327266,1.8363419815990492,2.2882124893339992
8,5.344444444444444,2.2079640531600297,2.2095541476175486,2.6229880053861967
9,6.0,2.5741561784668674,2.5756376878696132,2.9561622798768887
