,U,delta_0,delta_1,delta_2
0,0.1,0.0,0.0,0.0
1,0.7555555555555555,0.0,0.0,0.0
2,1.4111111111111112,0.09553870503476841,0.09288172603151042,0.0021822080690443203
3,2.066666666666667,0.3322578547573163,0.3280702394969077,0.274479144753499
4,2.7222222222222223,0.6534239158573215,0.6514608498038126,0.9215604191840671
5,3.3777777777777778,1.0180878657035677,1.0178435243933612,1.3587491928033446
6,4.033333333333333,1.3933324861497627,1.393916734936751,1.7490812394725417
7,4.688888888888888,1.767458953586933,1.768333914425516,2.118295936629565
8,5.344444444444444,2.137485048810613,2.1385335662178866,2.476091986319891
9,6.0,2.50322323604142,2.5042664934083225,2.826577285160427
