,U,delta_0,delta_1,delta_2
0,0.1,0.0005395058742723065,0.002473596293051854,0.04192530193520856
1,0.7555555555555555,0.020793076193971756,0.023163103040154724,0.3734360162708698
2,1.4111111111111112,0.055226953382524625,0.05672660459115254,0.702105936166003
3,2.066666666666667,0.12028889357977199,0.12159335974406757,1.030332712286221
4,2.7222222222222223,0.3313944595706626,0.33309477824321687,1.358276178804398
5,3.3777777777777778,1.026804509297007,1.029317820964645,1.686144533447211
6,4.033333333333333,1.4664484835845157,1.4687015968658232,2.014223615752597
7,4.688888888888888,1.856300258446248,1.8582809240020923,2.3423214186256622
8,5.344444444444444,2.2310985048079144,2.2328105524810145,2.6703136000155725
9,6.0,2.59743837942393,2.5990001788902006,2.998279229334514
