,beta,delta_0,delta_1,delta_2
0,1.0,0.0,0.0,0.0
1,1112.0,0.004947546060327698,0.32957673062419124,0.5361648630502869
2,2223.0,0.0001672471936874088,0.3192725220766185,0.3187652850899977
3,3334.0,0.00017393272547721423,0.21290465086423854,0.2132782846806721
4,4445.0,-0.00018111829485494696,0.18387333339188733,0.1538099160541516
5,5556.0,-7.677944145412024e-05,0.1555095536244894,0.1206012226653255
6,6667.0,0.0006562427812696265,0.13948655966476986,0.09824330902695613
7,7778.0,0.0005460298983602483,0.11932261276858822,0.08393461386630763
8,8889.0,0.0007497680725408718,0.10432104189660785,0.07349503799285718
9,10000.0,-9.288212354926946e-05,0.09872136925654446,0.06385497257607015
